game_title,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
alien_isolation,45446,59636,58812,89034,51406,46488,39563,59129
fear,17116,15986,9280,20590,13789,10981,11402,16495
halo_infinite,42271,67882,29434,44422,58464,39745,28050,70143
hitman,18777,32788,9093,19409,32081,17573,18386,40257
l4d2,11991,22449,7273,13578,23683,9415,10363,20870
shadow_of_mordor,67024,75354,32257,74638,66497,44254,37180,80997
the_last_of_us,18392,39773,13650,20932,28138,20998,18217,36462
